	CityScale	CityName
	100	Bridgeville
	100	Camden Wyoming
	1	Cheswold
	10	Clayton
	100	Dagsboro
	100	Delmar
	1	Ellendale
	100	Felton
	100	Fenwick Island
	100	Frankford
	10	Frederica
	1000	Georgetown
	100	Greenwood
	10	Harbeson
	100	Harrington
	10	Hartly
	1	Houston
	1	Kenton
	1000	Laurel
	1000	Lewes
	10	Lincoln
	100	Magnolia
	1000	Milford
	1	Marydel
	1000	Millsboro
	10	Millville
	100	Milton
	100	Ocean View
	1000	Rehoboth Beach
	1000	Seaford
	1000	Selbyville
	1000	Smyrna
	1	Viola
	1	Woodside
	1000	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	100	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	100	Washington
	1000	Washington
	1000	Washington
	100	Washington
	1000	Washington
	1000	Washington
	1000	Washington
	100	Washington
	1000	Washington
	1000	Washington
	100	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1	Washington
	1000	Fleming Island
	1	Ponte Vedra Beach
	1	Bostwick
	100	Branford
	1	Bryceville
	100	Callahan
	100	Lake City
	1000	Lake City
	1	Elkton
	1000	Fernandina Beach
	1	Fernandina Beach
	100	Fort White
	100	Glen Saint Mary
	1	Yulee
	1000	Green Cove Springs
	10	Hampton
	100	Hilliard
	10	Middleburg
	100	Jasper
	10	Jennings
	100	Lake Butler
	1000	Lake City
	1	Lake City
	10	Lawtey
	10	Lee
	1000	Live Oak
	1	Lulu
	1	Mc Alpin
	1000	Macclenny
	1000	Live Oak
	1000	Orange Park
	100	Mayo
	1	Orange Park
	1000	Middleburg
	1	O Brien
	1000	Orange Park
	1000	Saint Augustine
	10	Ponte Vedra
	1000	Ponte Vedra Beach
	1	Raiford
	1000	Saint Augustine
	10	Saint Augustine
	1000	Saint Augustine
	1	Sanderson
	1000	Starke
	1000	Saint Augustine
	10	Wellborn
	100	Saint Augustine
	10	White Springs
	1000	Yulee
	100	Astor
	1000	Bunnell
	1	Candler
	100	Crescent City
	100	Citra
	1000	Daytona Beach
	1	Daytona Beach
	1000	Daytona Beach
	1000	Daytona Beach
	1000	Daytona Beach
	1	Daytona Beach
	1	Daytona Beach
	100	Daytona Beach
	1000	Port Orange
	100	Port Orange
	100	Port Orange
	10	De Leon Springs
	100	East Palatka
	100	Edgewater
	100	Fort Mc Coy
	1	Palm Coast
	100	Flagler Beach
	1000	Palm Coast
	10	Florahome
	100	Edgewater
	100	Hastings
	1	Hollister
	100	Interlachen
	1000	Lady Lake
	1000	The Villages
	1	The Villages
	100	Palm Coast
	1000	New Smyrna Beach
	1000	New Smyrna Beach
	1	New Smyrna Beach
	1000	Ormond Beach
	1	Ormond Beach
	1000	Ormond Beach
	1000	Palatka
	100	Ocklawaha
	100	Pierson
	1	Pomona Park
	1	Orange Springs
	1	Ocklawaha
	1	Putnam Hall
	10	San Mateo
	10	Satsuma
	1	Seville
	10	Sparr
	1	Welaka
	10	Weirsdale
	1	Jacksonville
	100	Jacksonville
	10	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	10	Jacksonville
	1	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	100	Jacksonville
	100	Jacksonville
	1000	Jacksonville
	100	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	100	Jacksonville
	1	Jacksonville
	10	Jacksonville
	1000	Atlantic Beach
	100	Jacksonville
	1	Jacksonville
	1	Jacksonville
	1000	Jacksonville
	1	Jacksonville
	1000	Jacksonville
	1000	Jacksonville Beach
	1000	Jacksonville
	1	Jacksonville
	1000	Jacksonville
	1000	Jacksonville
	100	Jacksonville
	1000	Saint Johns
	100	Neptune Beach
	1000	Jacksonville
	1000	Tallahassee
	1	Tallahassee
	1000	Tallahassee
	1000	Tallahassee
	100	Tallahassee
	1	Tallahassee
	1	Tallahassee
	1000	Tallahassee
	100	Tallahassee
	100	Tallahassee
	100	Tallahassee
	1000	Tallahassee
	1	Tallahassee
	1	Tallahassee
	1	Tallahassee
	100	Tallahassee
	100	Apalachicola
	100	Bristol
	100	Carrabelle
	100	Chattahoochee
	1	Crawfordville
	1000	Crawfordville
	100	Eastpoint
	1	Apalachicola
	1	Greensboro
	100	Greenville
	10	Gretna
	100	Havana
	10	Hosford
	1	Lamont
	1	Lloyd
	1000	Madison
	1	Madison
	100	Midway
	100	Monticello
	100	Panacea
	100	Perry
	1000	Perry
	1000	Quincy
	10	Quincy
	1	Quincy
	10	Saint Marks
	1	Sopchoppy
	10	Steinhatchee
	1	Telogia
	1	Wacissa
	1	Woodville
	1	Tallahassee
	1	Tallahassee
	1000	Panama City
	1	Panama City
	1	Panama City
	1000	Panama City
	1000	Panama City
	1	Panama City
	1000	Panama City Beach
	1000	Panama City
	100	Panama City
	10	Mexico Beach
	1	Panama City
	1000	Panama City Beach
	1	Panama City
	10	Alford
	10	Altha
	1	Argyle
	100	Blountstown
	1000	Bonifay
	1	Campbellton
	1	Caryville
	1000	Chipley
	1	Clarksville
	100	Cottondale
	100	Defuniak Springs
	1	Mossy Head
	100	Defuniak Springs
	10	Fountain
	100	Freeport
	100	Graceville
	10	Grand Ridge
	1	Greenwood
	1000	Lynn Haven
	10	Malone
	1000	Marianna
	10	Marianna
	100	Marianna
	100	Ponce De Leon
	100	Port Saint Joe
	1	Port Saint Joe
	1000	Santa Rosa Beach
	100	Sneads
	10	Rosemary Beach
	100	Vernon
	1	Wausau
	10	Westville
	100	Wewahitchka
	10	Youngstown
	1000	Pensacola
	100	Pensacola
	1000	Pensacola
	1000	Pensacola
	1000	Pensacola
	1000	Pensacola
	1000	Pensacola
	1	Pensacola
	1	Pensacola
	1000	Pensacola
	1	Pensacola
	1	Pensacola
	1	Pensacola
	1000	Pensacola
	100	Baker
	100	Cantonment
	1000	Pensacola
	100	Century
	1000	Crestview
	1	Paxton
	100	Crestview
	10	Destin
	1000	Destin
	100	Eglin Afb
	10	Hurlburt Field
	1000	Fort Walton Beach
	1000	Fort Walton Beach
	10	Fort Walton Beach
	1000	Miramar Beach
	1000	Gulf Breeze
	1000	Gulf Breeze
	1	Holt
	100	Jay
	1000	Navarre
	10	Laurel Hill
	10	Mc David
	1000	Mary Esther
	1000	Milton
	1000	Milton
	1	Milton
	100	Molino
	1000	Niceville
	100	Shalimar
	100	Valparaiso
	100	Milton
	1000	Gainesville
	1	Gainesville
	10	Gainesville
	1	Gainesville
	1000	Gainesville
	1000	Gainesville
	1000	Gainesville
	1000	Gainesville
	1000	Gainesville
	1	Gainesville
	1	Gainesville
	1000	Alachua
	10	Alachua
	10	Anthony
	100	Archer
	10	Bell
	100	Bronson
	1	Brooker
	10	Cedar Key
	1000	Chiefland
	100	Cross City
	1	Fairfield
	100	Hawthorne
	100	Gainesville
	1000	High Springs
	1	Chiefland
	10	Horseshoe Beach
	100	Gainesville
	10	High Springs
	100	Keystone Heights
	1	La Crosse
	1	Mc Intosh
	100	Melrose
	100	Micanopy
	1	Morriston
	100	Newberry
	100	Old Town
	1	Orange Lake
	1	Otter Creek
	100	Reddick
	1	Suwannee
	100	Trenton
	100	Waldo
	100	Williston
	1	Worthington Springs
	1000	Altamonte Springs
	1	Altoona
	1000	Apopka
	1	Apopka
	1000	Casselberry
	1000	Winter Springs
	10	Christmas
	1000	Apopka
	100	Debary
	1000	Altamonte Springs
	1000	Deland
	1	Deland
	1	Deland
	1000	Deland
	1000	Deltona
	1000	Eustis
	1	Eustis
	100	Casselberry
	10	Geneva
	1	Grand Island
	100	Eustis
	100	Deltona
	10	Lake Helen
	1000	Lake Mary
	1000	Longwood
	1000	Maitland
	10	Longwood
	1	Debary
	100	Mims
	1	Mount Dora
	1000	Mount Dora
	100	Oak Hill
	1	Oviedo
	1000	Orange City
	10	Osteen
	1000	Oviedo
	100	Oviedo
	1	Paisley
